"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/12/2019","97","Ozone","Maricopa","06-029-0008","AQS","7","97","82","96","69"
"11/13/2019","103","PM2.5","Bakersfield-California","06-029-0014","AQS","7","97","78","103","60"
"11/14/2019","81","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","6","58","72","81","52"
"11/15/2019","64","PM2.5","Bakersfield-California","06-029-0014","AQS","5","42","49","64","30"
"11/16/2019","86","PM2.5","Bakersfield-California","06-029-0014","AQS","6","45","55","86","38"
"11/17/2019","104","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","64","68","104","47"
"11/18/2019","96","PM2.5","Bakersfield-California","06-029-0014","AQS","5","80","75","96","60"
"11/19/2019","87","Ozone","Maricopa","06-029-0008","AQS","5","87","69","84","53"
"11/20/2019","36","Ozone","Mojave","06-029-0011","AQS","2","36","19","20","22"
"11/21/2019","46","PM2.5","Bakersfield-California","06-029-0014","AQS","2","35","15","46","40"
"11/22/2019","62","PM2.5","Bakersfield-California","06-029-0014","AQS","3","42","25","62","41"
"11/23/2019","95","PM2.5","Bakersfield-California","06-029-0014","AQS","3","42","54","95","37"
"11/24/2019","97","PM2.5","Bakersfield-California","06-029-0014","AQS","3","45","43","97","36"
"11/25/2019","193","PM10","Oildale","06-029-0232","AQS","3","43","193","96","33"
"11/26/2019","94","PM10","Oildale","06-029-0232","AQS","2","39","94","61","42"
"11/27/2019","37","Ozone","Maricopa","06-029-0008","AQS","2","37","26","28","34"
"11/28/2019","35","Ozone","Maricopa","06-029-0008","AQS","1","35","5","23","24"
"11/29/2019","37","Ozone","Mojave","06-029-0011","AQS","1","37","9","35","23"
"11/30/2019","34","Ozone","Edison","06-029-0007","AQS","2","34","4","25","23"
"12/01/2019","35","Ozone","Shafter","06-029-6001","AQS","1","35","4","15","11"
"12/02/2019","54","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","2","37","18","54","30"
"12/03/2019","83","PM2.5","Bakersfield-California","06-029-0014","AQS","3","28","31","83","31"
"12/04/2019","35","PM2.5","Bakersfield-California","06-029-0014","AQS","3","29","4","35","27"
"12/05/2019","39","PM2.5","Bakersfield-California","06-029-0014","AQS","3","31","20","39","25"
"12/06/2019","31","Ozone","Edison","06-029-0007","AQS","2","31","10","27","20"
"12/07/2019","27","PM2.5","Bakersfield-California","06-029-0014","AQS","2","27","5","27","26"
"12/08/2019","36","Ozone","Mojave","06-029-0011","AQS","2","36","5","35","23"
"12/09/2019","51","PM2.5","Bakersfield-California","06-029-0014","AQS","3","35","7","51","25"
"12/10/2019","59","PM2.5","Bakersfield-California","06-029-0014","AQS","5","30","14","59","25"
"12/11/2019","78","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","37","31","78","22"
"12/12/2019","58","PM2.5","Bakersfield-California","06-029-0014","AQS","3","34","17","58","34"
"12/13/2019","66","PM2.5","Bakersfield-California","06-029-0014","AQS","3","34","5","66","34"
"12/14/2019","74","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","3","39","19","74","18"
"12/15/2019","39","Ozone","Mojave","06-029-0011","AQS","2","39","6","28","27"
"12/16/2019","51","PM2.5","Bakersfield-California","06-029-0014","AQS","3","36","17","51","32"
"12/17/2019","56","PM10","Bakersfield-Golden/M St","06-029-0010","AQS","3","38","56","25","25"
"12/18/2019","35","PM2.5","Bakersfield-California","06-029-0014","AQS","2","33","18","35","32"
"12/19/2019","55","PM2.5","Bakersfield-California","06-029-0014","AQS","3","35","20","55","36"
"12/20/2019","75","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","35","39","75","32"
"12/21/2019","43","PM2.5","Bakersfield-California","06-029-0014","AQS","6","35","27","43","29"
"12/22/2019","57","PM10","Oildale","06-029-0232","AQS","1","42","57","34","8"
"12/23/2019","39","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","1","32","18","39","26"
"12/24/2019","38","PM2.5","Bakersfield-California","06-029-0014","AQS","3","36","5","38","25"
"12/25/2019","43","PM2.5","Bakersfield-California","06-029-0014","AQS","3","36","5","43","21"
"12/26/2019","33","PM2.5","Bakersfield-California","06-029-0014","AQS","1","33","3","33","27"
"12/27/2019","36","PM2.5","Bakersfield-California","06-029-0014","AQS","3","32","6","36","28"
"12/28/2019","58","PM2.5","Bakersfield-California","06-029-0014","AQS","3","31","9","58","27"
"12/29/2019","60","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","3","31","23","60","30"
"12/30/2019","62","PM2.5","Bakersfield-California","06-029-0014","AQS","2","33","13","62","25"
"12/31/2019","85","PM2.5","Bakersfield-California","06-029-0014","AQS","5","35","19","85","25"
