T,TM,Tm,H,VV,V,PM2.5
22.8,30.4,15.8,54,2.1,8.9,213.0
23.7,29.4,17.7,59,3.4,10.7,193.0
21.6,29.2,16.0,54,3.1,8.3,123.0
22.6,31.0,15.0,53,3.1,11.1,194.0
25.8,35.0,19.4,50,2.7,8.5,207.0
26.6,35.0,19.6,46,2.4,10.2,176.0
24.9,34.5,18.7,34,4.0,16.7,189.0
29.3,38.4,19.0,34,2.7,10.4,178.0
24.1,28.1,19.4,53,3.4,14.3,219.0
25.5,34.0,17.0,39,3.4,8.9,206.0
30.4,40.0,20.4,30,2.6,7.8,294.0
30.8,39.2,21.0,30,3.1,11.5,314.0
31.4,41.2,22.0,32,3.7,6.3,334.0
33.4,43.0,25.1,30,2.6,7.8,261.0
27.3,37.0,20.0,36,2.9,11.9,314.0
29.0,38.0,19.5,26,3.4,6.7,262.0
31.3,38.4,20.6,22,2.7,9.6,257.0
30.4,39.0,21.0,22,3.1,13.7,302.0
32.7,41.0,22.0,20,3.4,9.6,296.0
33.9,42.2,22.4,19,2.9,9.1,247.0
33.3,41.0,23.0,20,3.5,12.0,258.0
33.2,41.0,24.2,23,2.9,9.1,282.0
30.9,38.3,22.0,18,3.2,8.5,271.0
32.5,42.2,23.0,18,2.4,5.4,392.0
33.3,43.0,23.0,16,2.6,8.3,342.0
33.6,42.0,23.0,15,2.4,9.1,297.0
34.6,44.2,24.0,13,2.7,7.0,281.0
37.7,46.2,26.8,12,2.9,9.6,309.0
34.7,46.2,29.0,20,2.9,10.4,262.0
33.7,40.7,24.8,29,3.2,8.5,225.0
33.7,40.9,26.4,33,3.2,12.6,221.0
32.8,40.2,28.4,38,3.4,14.8,185.0
36.0,44.5,27.8,28,3.5,9.8,325.0
36.8,44.0,28.0,26,3.4,6.5,316.0
37.8,44.4,28.5,20,3.4,5.9,302.0
36.6,46.4,29.8,34,3.7,13.9,255.0
36.6,43.5,30.8,43,3.9,13.0,218.0
36.1,44.2,29.0,46,3.1,15.0,252.0
30.9,39.2,26.7,49,2.9,9.3,381.0
35.4,41.0,26.5,39,2.4,6.5,409.0
37.0,42.2,30.5,28,2.3,13.5,269.0
31.9,39.0,24.6,49,3.1,9.8,316.0
34.4,40.8,25.6,40,3.1,9.8,361.0
37.3,43.8,29.8,28,2.9,10.4,330.0
38.6,46.0,29.0,27,3.2,8.0,256.0
33.4,39.2,28.4,45,3.4,13.7,209.0
36.2,42.2,29.6,36,3.2,13.1,262.0
34.6,43.2,28.4,35,3.2,12.0,280.0
33.7,41.8,25.0,46,2.9,13.7,330.0
31.7,36.1,25.0,61,3.2,11.9,248.0
34.4,40.0,29.4,50,2.7,13.1,172.0
34.9,41.2,29.8,54,3.7,15.0,159.0
30.3,41.2,27.0,72,3.2,12.6,187.0
31.5,39.0,27.0,66,3.9,12.6,228.0
34.1,40.8,30.8,59,3.1,12.4,154.0
34.1,39.4,29.1,59,3.2,12.0,187.0
33.2,40.2,25.2,62,2.9,13.9,180.0
31.8,38.0,25.0,70,3.2,11.9,154.0
28.6,37.6,24.7,75,3.2,8.9,160.0
28.9,32.5,26.0,79,2.7,7.2,165.0
33.2,37.8,28.8,66,3.5,10.6,151.0
30.6,36.8,28.0,74,3.4,7.0,143.0
32.2,37.6,28.0,69,3.5,7.8,156.0
30.7,36.2,26.3,79,2.9,7.8,123.0
29.6,37.0,26.4,82,2.6,7.4,106.0
30.2,33.4,25.7,82,3.4,9.3,202.0
31.4,36.0,26.0,77,3.7,10.7,280.0
32.7,38.3,28.6,66,4.0,10.7,269.0
33.7,38.3,28.2,60,3.7,10.6,163.0
31.9,36.2,27.6,71,2.7,7.0,108.0
29.6,36.2,27.0,78,2.4,11.7,134.0
27.9,32.5,26.6,88,1.9,9.4,155.0
28.6,32.0,25.9,86,2.4,6.9,121.0
28.4,32.0,26.4,85,2.6,9.8,149.0
29.3,35.2,25.8,80,2.9,8.3,178.0
32.0,35.2,25.6,65,4.0,10.4,120.0
32.2,36.8,26.3,67,3.7,11.1,125.0
31.9,36.5,28.2,69,4.2,11.9,127.0
30.1,36.2,27.8,79,3.2,11.5,119.0
29.4,33.9,25.2,82,2.6,5.4,166.0
28.9,32.2,25.0,84,2.4,7.6,274.0
30.6,35.0,27.0,76,3.9,13.5,295.0
31.5,34.8,26.6,70,3.4,6.5,111.0
30.9,35.4,27.0,72,3.9,12.8,93.0
29.6,36.0,25.8,72,4.0,11.3,107.0
29.8,34.4,26.3,82,3.7,5.7,93.0
30.3,37.4,26.4,77,3.2,8.1,224.0
30.9,36.2,25.6,72,4.0,8.3,169.0
26.9,33.2,24.0,87,2.6,9.3,154.0
27.7,31.0,25.2,88,2.6,3.9,216.0
29.3,33.7,25.1,78,3.2,12.8,262.0
29.6,34.0,24.6,74,3.9,10.9,260.0
29.8,35.0,24.5,68,4.5,11.5,335.0
30.6,35.5,25.0,61,5.0,11.1,240.0
30.4,35.8,25.2,64,5.0,10.9,177.0
30.3,37.4,26.0,65,4.7,9.3,215.0
30.2,35.0,24.5,69,3.9,4.8,233.0
31.5,37.0,26.4,61,3.5,5.6,220.0
31.5,37.4,26.2,59,3.5,4.6,284.0
32.3,38.0,25.4,54,2.9,6.1,150.0
31.1,37.8,26.8,64,2.9,9.8,134.0
30.4,35.4,25.4,65,3.1,4.8,185.0
30.5,36.0,25.6,66,3.1,6.7,103.0
31.1,37.2,25.6,62,3.4,6.1,289.0
31.8,37.2,26.5,64,2.9,5.6,282.0
31.9,37.2,27.3,66,3.7,5.7,351.0
32.5,37.6,27.6,63,2.7,6.7,232.0
30.0,35.6,24.0,64,2.6,6.3,416.0
30.2,36.2,24.0,58,2.9,6.7,387.0
30.2,36.0,23.6,59,2.7,4.6,408.0
27.9,36.0,20.8,41,3.5,8.9,400.0
28.2,36.0,20.4,41,3.9,7.8,430.0
26.8,35.8,18.8,44,2.7,5.7,425.0
27.3,35.8,18.0,38,2.9,4.4,496.0
26.7,35.6,19.0,38,3.2,5.4,472.0
27.4,35.6,19.6,39,3.7,7.0,470.0
25.7,33.2,19.0,47,3.2,8.0,558.0
26.3,34.7,19.0,46,2.4,5.6,570.0
24.8,33.2,18.0,48,1.6,5.6,554.0
23.2,33.1,16.9,58,1.1,2.4,593.0
23.1,30.4,16.0,55,0.8,3.0,625.0
21.4,29.0,17.0,71,0.3,1.9,480.0
23.3,30.5,16.1,60,0.6,1.7,603.0
21.6,29.0,15.2,56,0.5,9.1,455.0
21.1,29.0,14.0,51,0.8,8.7,471.0
20.6,30.0,13.0,47,0.6,5.4,514.0
22.6,29.8,16.0,49,1.6,3.5,428.0
20.2,29.8,13.9,49,1.1,4.3,504.0
19.1,27.5,12.0,50,1.1,5.9,512.0
21.0,29.8,12.6,47,1.1,4.4,471.0
21.3,30.8,13.0,48,1.1,1.7,432.0
21.0,30.2,12.4,46,2.1,6.5,397.0
21.3,30.2,14.0,41,2.7,12.0,274.0
20.2,30.4,13.0,41,2.6,12.0,360.0
20.1,28.4,12.0,39,2.3,5.6,441.0
19.1,26.6,13.0,81,0.6,3.1,419.0
16.5,25.8,12.0,87,0.5,3.9,379.0
17.3,26.2,10.0,59,1.6,3.1,389.0
16.0,24.0,11.0,83,0.3,3.3,443.0
16.3,25.6,10.0,76,0.8,3.1,413.0
17.9,27.2,9.5,66,1.1,4.3,351.0
17.9,26.3,12.0,61,1.3,3.7,359.0
16.1,23.3,11.0,70,1.3,8.1,390.0
15.8,24.4,10.0,59,2.1,5.7,437.0
14.4,22.8,7.6,71,1.1,9.4,317.0
15.5,24.0,8.4,67,1.3,13.3,349.0
16.2,25.0,9.0,56,1.8,10.0,470.0
13.7,25.2,10.0,92,0.5,10.4,319.0
14.4,23.0,8.0,76,0.8,9.4,455.0
14.3,23.0,7.0,67,0.8,4.3,524.0
16.1,23.6,10.3,77,1.0,4.6,373.0
15.6,23.6,10.5,83,0.5,5.0,439.0
15.1,22.0,10.0,82,0.6,4.4,318.0
13.8,16.0,12.0,95,0.6,11.1,300.0
15.0,21.0,11.4,81,1.1,5.6,305.0
12.6,20.2,7.0,82,1.0,6.5,337.0
11.8,19.8,5.3,60,1.3,4.3,382.0
12.8,19.5,4.6,62,1.1,5.7,397.0
16.3,24.0,9.0,47,1.6,6.1,330.0
11.9,20.8,6.0,72,1.0,11.1,387.0
11.3,19.8,6.0,71,1.0,9.6,446.0
13.1,19.8,5.0,66,1.1,5.0,379.0
19.9,26.0,13.9,72,1.1,12.2,203.0
15.9,26.0,14.0,94,0.8,11.1,236.0
13.6,19.0,10.0,87,0.8,10.6,252.0
16.7,23.3,10.0,77,1.0,6.3,387.0
14.9,22.2,10.0,79,1.1,5.0,438.0
16.3,24.2,9.4,64,1.6,3.5,407.0
17.4,24.8,10.9,68,1.3,5.2,312.0
14.6,22.0,8.0,67,2.1,10.7,346.0
16.3,23.6,9.0,60,1.9,6.1,314.0
15.2,23.6,10.0,67,1.4,10.6,314.0
16.6,23.2,9.0,61,1.8,8.1,382.0
16.7,25.2,9.0,60,1.9,8.5,352.0
